,customer_id,Customer_Full_Name,country,rating,Genre,rental_rate,rental_duration,inventory_id,film_id,staff_id,Employee_full_Name,Actor_Full_Name,movie_title,rental_id,rental_date,return_date,store_id,payment_id,payment_amount,Revenue,Sales_Rating
0,1,MARY SMITH,Japan,NC-17,Classics,0.99,7,3021,663,1,Mike Hillyer,LUCILLE TRACY,PATIENT SISTER,76,2005-05-25 11:30:37.000,2005-06-03 12:00:37.000,1,1,2.99,6.93,below average
1,2,PATRICIA JOHNSON,United States,NC-17,Animation,4.99,3,1090,243,1,Mike Hillyer,KARL BERRY,DOORS PRESIDENT,320,2005-05-27 00:09:24.000,2005-05-28 04:30:24.000,1,33,4.99,14.97,below average
2,3,LINDA WILLIAMS,Greece,G,Action,0.99,5,3328,732,1,Mike Hillyer,JOHNNY LOLLOBRIGIDA,RINGS HEARTBREAKERS,435,2005-05-27 17:17:09.000,2005-06-02 11:20:09.000,1,60,1.99,4.95,below average
3,4,BARBARA JONES,Myanmar,G,Animation,4.99,5,1075,239,1,Mike Hillyer,KIRK JOVOVICH,DOGMA FAMILY,1297,2005-06-15 09:31:28.000,2005-06-19 04:33:28.000,1,86,4.99,24.950000000000003,Above Average
4,5,ELIZABETH BROWN,Taiwan,PG,Children,0.99,3,4124,896,1,Mike Hillyer,ZERO CAGE,TOOTSIE PILOT,731,2005-05-29 07:25:16.000,2005-05-30 05:21:16.000,1,108,0.99,2.9699999999999998,below average
5,6,JENNIFER DAVIS,United States,R,Comedy,4.99,5,3938,858,2,Jon Stephens,JENNIFER DAVIS,SUBMARINE BED,57,2005-05-25 08:43:32.000,2005-05-29 06:42:32.000,2,146,4.99,24.950000000000003,Above Average
6,7,MARIA MILLER,Yugoslavia,PG-13,New,0.99,3,3318,730,2,Jon Stephens,JOHNNY LOLLOBRIGIDA,RIDGEMONT SUBMARINE,46,2005-05-25 06:04:08.000,2005-06-02 08:18:08.000,2,174,5.99,2.9699999999999998,below average
7,8,SUSAN WILSON,New Zealand,PG,Sports,2.99,5,2867,628,2,Jon Stephens,MICHELLE MCCONAUGHEY,NORTHWEST POLISH,866,2005-05-30 03:43:54.000,2005-06-08 04:28:54.000,2,207,6.99,14.950000000000001,below average
8,9,MARGARET MOORE,Oman,G,Comedy,0.99,4,2756,604,2,Jon Stephens,NICK STALLONE,MULAN MOON,350,2005-05-27 05:01:28.000,2005-06-04 05:01:28.000,2,231,4.99,3.96,below average
9,10,DOROTHY TAYLOR,Iran,G,Animation,0.99,3,3731,816,2,Jon Stephens,UMA WOOD,SNOWMAN ROLLERCOASTER,1140,2005-05-31 19:36:30.000,2005-06-07 18:33:30.000,2,254,4.99,2.9699999999999998,below average
10,11,LISA ANDERSON,Japan,R,Music,4.99,6,390,86,1,Mike Hillyer,KEVIN BLOOM,BOOGIE AMELIE,987,2005-05-30 22:59:12.000,2005-06-07 20:56:12.000,1,279,6.99,29.94,Above Average
11,12,NANCY THOMAS,India,R,Horror,0.99,4,1364,301,1,Mike Hillyer,SANDRA PECK,FAMILY SWEET,988,2005-05-30 23:08:03.000,2005-06-07 00:22:03.000,1,303,4.99,3.96,below average
12,13,KAREN JACKSON,Turkey,NC-17,Drama,0.99,7,980,218,1,Mike Hillyer,GRACE MOSTEL,DECEIVER BETRAYED,1933,2005-06-17 06:54:42.000,2005-06-26 02:00:42.000,1,331,2.99,6.93,below average
13,14,BETTY WHITE,United States,NC-17,Games,0.99,6,2942,646,1,Mike Hillyer,ALEC WAYNE,OUTBREAK DIVINE,151,2005-05-26 00:37:28.000,2005-05-30 06:28:28.000,1,358,0.99,5.9399999999999995,below average
14,15,HELEN HARRIS,India,R,Children,2.99,4,268,59,1,Mike Hillyer,SCARLETT DAMON,BEAR GRACELAND,2486,2005-06-18 21:26:56.000,2005-06-22 23:42:56.000,1,386,2.99,11.96,below average
15,16,SANDRA MARTIN,United Kingdom,R,Family,0.99,6,1411,309,1,Mike Hillyer,TIM HACKMAN,FEUD FROGMEN,335,2005-05-27 03:07:10.000,2005-06-05 00:15:10.000,1,418,3.99,5.9399999999999995,below average
16,17,DONNA THOMPSON,Russian Federation,PG-13,Foreign,2.99,7,3631,792,2,Jon Stephens,FRANCES DAY-LEWIS,SHREK LICENSE,287,2005-05-26 19:44:54.000,2005-06-02 01:10:54.000,2,447,2.99,20.93,Above Average
17,18,CAROL GARCIA,Nigeria,NC-17,Classics,2.99,4,1983,432,1,Mike Hillyer,GREG CHAPLIN,HOPE TOOTSIE,50,2005-05-25 06:44:53.000,2005-05-28 11:28:53.000,1,468,2.99,11.96,below average
18,19,RUTH MARTINEZ,South Africa,NC-17,Music,0.99,7,3376,741,2,Jon Stephens,JIM MOSTEL,ROMAN PUNK,18,2005-05-25 01:10:47.000,2005-05-31 06:35:47.000,2,490,0.99,6.93,below average
19,20,SHARON ROBINSON,Pakistan,NC-17,Family,0.99,5,674,147,2,Jon Stephens,JOE SWANK,CHOCOLAT HARRY,202,2005-05-26 07:27:36.000,2005-06-02 03:52:36.000,2,514,2.99,4.95,below average
20,21,MICHELLE CLARK,Bangladesh,PG-13,New,2.99,4,435,96,1,Mike Hillyer,GRACE MOSTEL,BREAKING HOME,260,2005-05-26 15:42:20.000,2005-05-31 13:21:20.000,1,544,3.99,11.96,below average
21,22,LAURA RODRIGUEZ,Morocco,PG-13,Children,2.99,7,3347,735,1,Mike Hillyer,MILLA PECK,ROBBERS JOON,370,2005-05-27 07:49:43.000,2005-06-05 06:39:43.000,1,579,4.99,20.93,Above Average
22,23,SARAH LEWIS,Latvia,PG,Sports,4.99,6,4154,902,1,Mike Hillyer,BETTE NICHOLSON,TRADING PINOCCHIO,129,2005-05-25 21:20:03.000,2005-06-04 01:25:03.000,1,601,8.99,29.94,Above Average
23,24,KIMBERLY LEE,Argentina,NC-17,Documentary,2.99,3,3185,698,2,Jon Stephens,CHRISTIAN AKROYD,PRINCESS GIANT,1007,2005-05-31 01:02:28.000,2005-06-07 01:36:28.000,2,631,6.99,8.97,below average
24,25,DEBORAH WALKER,Pakistan,G,Games,4.99,4,2984,654,1,Mike Hillyer,RIP WINSLET,PANKY SUBMARINE,90,2005-05-25 14:31:25.000,2005-06-01 10:07:25.000,1,656,7.99,19.96,Above Average
25,26,JESSICA HALL,Holy See (Vatican City State),PG,Music,2.99,6,2697,592,1,Mike Hillyer,JUDE CRUISE,MONSTER SPARTACUS,796,2005-05-29 16:59:44.000,2005-06-03 16:22:44.000,1,685,2.99,17.94,Above Average
26,27,SHIRLEY ALLEN,Philippines,PG-13,Documentary,0.99,7,3919,855,2,Jon Stephens,SANDRA KILMER,STREAK RIDGEMONT,787,2005-05-29 16:03:03.000,2005-06-07 11:07:03.000,2,719,2.99,6.93,below average
27,28,CYNTHIA YOUNG,India,PG-13,New,2.99,4,434,96,2,Jon Stephens,GRACE MOSTEL,BREAKING HOME,388,2005-05-27 10:37:27.000,2005-05-30 05:45:27.000,2,750,2.99,11.96,below average
28,29,ANGELA HERNANDEZ,Japan,PG,Documentary,0.99,3,1337,295,2,Jon Stephens,FRANCES DAY-LEWIS,EXPENDABLE STALLION,194,2005-05-26 06:52:33.000,2005-05-30 04:08:33.000,2,782,1.99,2.9699999999999998,below average
29,30,MELISSA KING,Taiwan,NC-17,Animation,0.99,6,3884,849,2,Jon Stephens,CHRISTOPHER BERRY,STORM HAPPINESS,1874,2005-06-17 02:39:20.000,2005-06-24 04:41:20.000,2,818,1.99,5.9399999999999995,below average
30,31,BRENDA WRIGHT,India,PG-13,Classics,4.99,6,2253,487,2,Jon Stephens,KIM ALLEN,JINGLE SAGEBRUSH,1656,2005-06-16 10:05:40.000,2005-06-22 06:26:40.000,2,852,4.99,29.94,Above Average
31,32,AMY LOPEZ,India,NC-17,Animation,4.99,7,1510,330,2,Jon Stephens,KIRK JOVOVICH,FORRESTER COMANCHEROS,483,2005-05-27 23:00:25.000,2005-05-28 21:30:25.000,2,878,4.99,34.93,Above Average
32,33,ANNA HILL,Italy,PG,Horror,0.99,5,2735,600,1,Mike Hillyer,UMA WOOD,MOTIONS DETAILS,165,2005-05-26 02:28:36.000,2005-06-02 03:21:36.000,1,907,2.99,4.95,below average
33,34,REBECCA SCOTT,Japan,R,Sci-Fi,4.99,4,1425,312,1,Mike Hillyer,TIM HACKMAN,FIDDLER LOST,1900,2005-06-17 04:29:58.000,2005-06-21 05:58:58.000,1,928,4.99,19.96,Above Average
34,35,VIRGINIA GREEN,France,G,Comedy,2.99,4,2211,478,2,Jon Stephens,HELEN VOIGHT,JAWS HARRY,47,2005-05-25 06:05:20.000,2005-05-30 03:04:20.000,2,952,3.99,11.96,below average
35,36,KATHLEEN ADAMS,Iran,PG-13,Foreign,0.99,4,2920,641,1,Mike Hillyer,MEG HAWKE,ORANGE GRAPES,349,2005-05-27 04:53:11.000,2005-05-28 06:33:11.000,1,984,0.99,3.96,below average
36,37,PAMELA BAKER,China,R,Sci-Fi,0.99,5,3961,863,1,Mike Hillyer,DAN TORN,SUN CONFESSIONS,25,2005-05-25 03:21:20.000,2005-05-27 21:25:20.000,1,1011,0.99,4.95,below average
37,38,MARTHA GONZALEZ,Moldova,PG-13,Classics,0.99,6,4360,951,2,Jon Stephens,CARMEN HUNT,VOYAGE LEGALLY,1250,2005-06-15 05:55:40.000,2005-06-23 03:11:40.000,2,1034,2.99,5.9399999999999995,below average
